"Name","City","Country","Domes","Status","EPN Inclusion","Station Log","OperationalCentre","TectonicPlate","Latitude","Longitude","Elevation","X","Y","Z","IGS","ITRF2014","IGS14"
"SMNE00FRA","Saint-Mandé","France","10001M007","A","2010-03-28","smne00fra_20190313.log","IGN_RGP","EURASIAN","48.8444","2.4250","126.2","4201792.08","177945.43","4779286.87","","",""
"SNEO00GBR","St Neots","United Kingdom","19135M002","A","2017-02-12","sneo00gbr_20200306.log","OS","EURASIAN","52.1854","-0.1125","119.3","3918752.00","-7694.00","5015570.00","","",""
"SOD300FIN","Sodankyla","Finland","10513M002","A","2017-04-02","sod300fin_20191028.log","FGI","EURASIAN","67.4208","26.3893","300.8","2200149.22","1091650.85","5866868.64","IGS","",""
"SODA00FIN","Sodankyla","Finland","10513M001","A","1997-02-16","soda00fin_20191028.log","FGI","EURASIAN","67.4209","26.3890","299.7","2200147.00","1091638.20","5866870.60","","",""
"SOFI00BGR","Sofia","Bulgaria","11101M002","A","1997-06-22","sofi00bgr_20140722.log","FSW","EURASIAN","42.5561","23.3947","1119.6","4319372.39","1868687.57","4292063.80","IGS","ITRF2014","IGS14"
"SONS00ESP","Sonseca","Spain","13446M001","A","2007-09-09","sons00esp_20191202.log","IGE","EURASIAN","39.6754","-3.9640","808.9","4904660.50","-339868.00","4050823.50","","",""
"SPRN00HUN","Sopron","Hungary","11227M001","A","2007-07-22","sprn00hun_20190403.log","SGO","EURASIAN","47.6836","16.5831","279.0","4123048.38","1227806.16","4693474.06","","",""
"SPT000SWE","Boras","Sweden","10425M001","A","2002-07-07","spt000swe_20200217.log","LMV","EURASIAN","57.7150","12.8913","219.9","3328984.81","761910.07","5369033.47","IGS","ITRF2014",""
"SRJV00BIH","Sarajevo","Bosnia and Herzegovina","11801S001","A","1999-11-28","srjv00bih_20190716.log","GDFCE","EURASIAN","43.8679","18.4139","645.1","4370292.00","1454981.00","4397965.00","","",""
"STAS00NOR","Stavanger","Norway","10330M001","A","2000-12-10","stas00nor_20200131.log","NMA","EURASIAN","59.0177","5.5986","104.9","3275753.90","321110.86","5445041.88","","ITRF2014",""
"SULD00DNK","Suldrup","Denmark","10113M001","A","2003-06-29","suld00dnk_20200318.log","SDFE","EURASIAN","56.8418","9.7422","120.7","3446394.50","591712.93","5316383.25","","",""
"SULP00UKR","Lviv","Ukraine","12366M001","A","2001-10-21","sulp00ukr_20190401.log","NULP","EURASIAN","49.8356","24.0145","370.5","3765296.99","1677559.20","4851297.41","IGS","ITRF2014",""
"SUN600SWE","Sundsvall","Sweden","10440M002","A","2015-05-17","sun600swe_20191105.log","LMV","EURASIAN","62.2325","17.6598","32.3","2838911.30","903817.02","5620660.91","","",""
"SUR400EST","Suurupi","Estonia","10601M002","A","2012-01-29","sur400est_20190930.log","ELB","EURASIAN","59.4636","24.3803","84.4","2959057.25","1341058.50","5470426.81","","",""
"SVE600SWE","Sveg","Sweden","10441M002","A","2014-06-22","sve600swe_20191105.log","LMV","EURASIAN","62.0174","14.7001","491.0","2902498.27","761460.40","5609857.28","","",""
"SVTL00RUS","Svetloe","Russian Federation","12350M001","A","1996-11-10","svtl00rus_20191004.log","IAA","EURASIAN","60.5329","29.7809","76.8","2730156.00","1562365.00","5529989.00","IGS","ITRF2014",""
"SWAS00GBR","Swansea","United Kingdom","19193M001","A","2017-02-12","swas00gbr_20200306.log","OS","EURASIAN","51.5655","-3.9818","91.9","3963407.00","-275880.00","4972970.00","","ITRF2014",""
"SWKI00POL","Suwalki","Poland","12228M001","A","2008-06-08","swki00pol_20190830.log","ASGEUPOS","EURASIAN","54.0986","22.9282","215.8","3452305.00","1460315.00","5143362.00","","",""
