#StationName,X,Y,Z,Latitude,Longitude,Height,ReceiverName,ReceiverSatelliteSystem,ReceiverDateInstalled,AntennaName,AntennaRadome,AntennaSerialNumber,AntennaARP,AntennaMarkerUp,AntennaMarkerNorth,AntennaMarkerEast,AntennaDateInstalled,ClockType
HOLB00CAN,-2503040.424,-3188233.325,4908701.543,50.64,-128.135,560.021,SEPT POLARX5,GPS+GLO+GAL+BDS,2021-03-29T00:00Z,SEPCHOKE_B3E6,SPKE,5130,BPA,0.0821,0,0,2017-10-26T20:10Z,INTERNAL RECEIVER CLOCK
HOLM00CAN,-983063.87,-1867634.52,5998678.91,70.736,-117.761,39.951,ASHTECH UZ-12,GPS,2010-12-07T23:40Z,ASH701945D_M,NONE,CR520020905,BPA,0.1,0,0,2002-08-09,INTERNAL
HOLP00USA,-2500946.0962,-4670472.9515,3539500.5469,33.925,-118.168,-6.29,SEPT POLARX5,GPS+GLO+GAL+SBAS,2021-06-23T17:16Z,TWIVC6150,SCIS,VC6150L19030006,BPA,0.131,0,0,2021-06-23T17:16Z,INTERNAL
HRAG00ZAF,5085418.18,2668226.51,-2768758.21,-25.89,27.685,1407.788,JAVAD TRE_G3TH DELTA,GPS+GLO+GAL+IRNSS+SBAS,2020-12-11T13:25Z,LEIAR25.R3,LEIT,9310005,BPA,0.128,0,0,2018-09-13T13:30Z,EXTERNAL H-MASER
HRAO00ZAF,5085352.597,2668395.992,-2768731.551,-25.89,27.687,1414.744,SEPT POLARX5TR,GPS+GLO+GAL+BDS+SBAS+IRNSS,2021-10-13T03:50Z,ASH701945E_M,NONE,CR6200610005,BPA,0.0814,0,0,2021-07-27T00:00Z,EXTERNAL H-MASER
HUEG00DEU,4251963.3,567043.8,4704708.7,47.834,7.596,278.745,JAVAD TRE_3 DELTA,GPS+GLO+GAL+BDS+SBAS,2021-08-31T09:25Z,LEIAR25.R4,LEIT,726365,BPA,0,0,0,2019-11-14T13:30Z,INTERNAL
HYDE00IND,1208444.8595,5966806.0568,1897076.6227,17.417,78.551,442.11,LEICA GRX1200GGPRO,GPS+GLO,2014-09-27T09:27Z,LEIAT504GG,NONE,200348,BPA,0,0,0,2007-11-26T00:00Z,INTERNAL
IENG00ITA,4476537.4,600431.46,4488761.34,45.015,7.639,317.049,SEPT POLARX4TR,GPS+GLO+GAL+BDS+SBAS,2019-07-19T11:30Z,SEPCHOKE_MC,NONE,5261,BAM,0,0,0,2019-04-11T07:05Z,EXTERNAL H-MASER
IISC00IND,1337936.455,6070317.1261,1427876.7852,13.021,77.57,844.117,SEPT POLARX5,GPS+GLO+GAL+BDS+QZSS+IRNSS,2021-01-29T19:43Z,ASH701945E_M,NONE,CR6200548032,BPA,0.078,0,0,2008-07-10T00:00Z,INTERNAL
INEG00MEX,-1260435.67,-5788547.37,2360340.12,21.856,-102.284,1888.498,TRIMBLE ALLOY,GPS+GLO+GAL+BDS,2021-05-17T16:00Z,TRM115000.00,NONE,60413G0087,BAM,0.067,0,0,2021-05-17T16:00Z,INTERNAL
INVK00CAN,-1628432.02,-1714393.06,5903844.73,68.306,-133.527,46.813,TRIMBLE NETR9,GPS,2017-11-17T20:27Z,ASH701945C_M,SCIS,CR620010805,BPA,0.1,0,0,2003-08-21T15:30Z,INTERNAL
IQAL00CAN,1036001.02,-2631455.56,5697819.69,63.756,-68.51,92.142,TPS NET-G3A,GPS+GLO,2017 p6,5,2019-03-22T14:29Z,TPSCR.G3,NONE,383-0408,BPA,0.05,0,0
IQQE00CHL,2034208,-5629172,-2196142,-20.274,-70.132,39.003,TRIMBLE NETR9,GPS,2021-08-08T00:00Z,ASH700936D_M,SNOW,12470,BPA,0,0,0,2002-01-01T00:01Z,INTERNAL 
IRKJ00RUS,-968328.35,3794426.541,5018167.196,52.219,104.316,502.409,JPS LEGACY,GPS+GLO,2007,0,2007-10-31,JPSREGANT_SD_E1,NONE,RA0225,BPA,0.128,0,0
IRKM00RUS,-968332.3889,3794425.4087,5018167.7058,52.219,104.316,502.752,JAVAD TRE_G3TH DELTA,GPS+GLO,2020,0,2020-07-13T09:00Z,AOAD/M_T,NONE,178,BPA,0.128,0,0
ISBA00IRQ,3808364.974,3734430.116,3485693.39,33.341,44.438,72.791,TRIMBLE NETR5,GPS+GLO,2020-05-20,TRM57971.00,NONE,30763366,BAM,0,0,0,2011-10-05,INTERNAL
ISHI00JPN,-3959648.7541,3296836.3371,3747005.5756,36.209,140.219,156.249,TRIMBLE ALLOY,GPS+GLO+GAL+QZSS,2021-08-16T11:00Z,TRM59800.00,SCIS,5204354380,BPA,0,0,0,2016-04-25,EXTERNAL H-MASER
ISPA00CHL,-1881703.507,-5359979.772,-2890599.259,-27.125,-109.344,112.906,ASHTECH UZ-12,GPS,2007-06-03T06:00Z,ASH701945E_M,SCIT,CR620024321,BPA,0.0083,0,0,2012-10-05T00:00Z,INTERNAL
ISTA00TUR,4208830.46,2334850.14,4171267.18,41.104,29.019,147.665,LEICA GR25,GPS+GLO+GAL+BDS+SBAS,2021-05-26T08:05Z,LEIAR25.R4,LEIT,726339,BPA,0.061,0,0,2016-05-09T07:00Z,INTERNAL
IZMI00TUR,4456584.236,2278765.506,3939930.889,38.395,27.082,75.322,TRIMBLE NETR5,GPS+GLO+SBAS,2018-10-17T11:00Z,TRM55971.00,NONE,30763420,BAM,0.087,0,0,2008-08-10T00:00Z,INTERNAL
JCTW00ZAF,5023564.462,1677795.751,-3542025.865,-33.951,18.469,84.013,TRIMBLE NETR9,GPS+GLO+GAL+BDS,2015-08-28T00:00Z,TRM59800.00,SCIS,31053932,BPA,0,0,0,2014-02-18T00:00Z,INTERNAL
JDPR00IND,1671950.8578,5476891.3303,2799675.5722,26.206,73.024,167.703,TRIMBLE ALLOY,GPS+GLO+GAL+BDS,2021-06-18T04:14Z,LEIAT504GG,NONE,200337,BPA,0.14,0,0,2020-12-19T10:00Z,defaultdict(<function rec_dd at 0x7f349ce211e0>
JFNG00CHN,-2279828.8292,5004706.5483,3219777.4684,30.516,114.491,71.739,TRIMBLE ALLOY,GPS+GLO+GAL+BDS+QZSS+SBAS+IRNSS,2020-09-17T03:12Z,TRM59800.00,NONE,5116354160,BPA,0,0,0,2012-10-10T00:00Z,INTERNAL
JNAV00VNM,-1626346.47,5730605.79,2271881.48,21.005,105.844,35.275,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,2015-10-29T00:00Z,JAVRINGANT_DM,SCIS,489,BPA,0,0,0,2014-05-13T00:00Z,INTERNAL
